id,source_file,source_line,tag,source_control,desktop,mobile,keyboard,validation,wallet_disconnected,wallet_connected,account_network_change,evidence,issue,overall
R041,apps/web/components/artwork/ArtworkTags.tsx,11,input,<input value={publicTags} maxLength={660} onChange={e=>setPublic(e.target.value)}/>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R042,apps/web/components/artwork/ArtworkTags.tsx,11,input,<input value={privateTags} maxLength={660} onChange={e=>setPrivate(e.target.value)}/>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R043,apps/web/components/artwork/ArtworkTags.tsx,11,button,<button disabled={busy||!wallet} onClick={()=>void save()}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R044,apps/web/components/artwork/AssetDetailClient.tsx,20,Link,"<Link href=""/discover"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R045,apps/web/components/artwork/AssetDetailClient.tsx,20,Link,"<Link href={collectionPath(chainId,address)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R046,apps/web/components/artwork/AssetDetailClient.tsx,20,summary,<summary>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R047,apps/web/components/artwork/AssetDetailClient.tsx,20,Link,<Link href={`/mint?view=manage&address=${address}&chainId=${chainId}`}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R048,apps/web/components/artwork/AssetDetailClient.tsx,20,button,<button onClick={()=>setAttempt(v=>v+1)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R049,apps/web/components/artwork/AssetDetailClient.tsx,20,Link,"<Link className=""receiptHash"" href={`/profile/${item.creatorAddress}`}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R050,apps/web/components/artwork/AssetDetailClient.tsx,20,Link,"<Link className=""receiptHash"" href={`/profile/${item.ownerAddress}`}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R051,apps/web/components/artwork/AssetDetailClient.tsx,20,Link,"<Link className=""ctaLink"" href=""/marketplace"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R052,apps/web/components/artwork/AssetDetailClient.tsx,20,button,<button disabled={loading} onClick={()=>setCursor(nextCursor)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R053,apps/web/components/artwork/ImportArtworkClient.tsx,18,Link,"<Link href=""/profile"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R054,apps/web/components/artwork/ImportArtworkClient.tsx,18,select,<select disabled={busy} value={chainId} onChange={e=>{setChainId(Number(e.target.value));setResults([]);}}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R055,apps/web/components/artwork/ImportArtworkClient.tsx,18,input,"<input disabled={busy} value={contract} onChange={e=>{setContract(e.target.value.trim());setResults([]);}} placeholder=""0x…"" maxLength={42}/>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R056,apps/web/components/artwork/ImportArtworkClient.tsx,18,textarea,"<textarea disabled={busy} value={ids} onChange={e=>{setIds(e.target.value);setResults([]);}} placeholder=""1, 2, 3"" maxLength={800}/>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R057,apps/web/components/artwork/ImportArtworkClient.tsx,18,button,<button disabled={!address||!wallet||busy} onClick={()=>void importTokens(true)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R058,apps/web/components/artwork/ImportArtworkClient.tsx,18,button,<button disabled={busy} onClick={()=>void importTokens(false)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R059,apps/web/components/artwork/ImportArtworkClient.tsx,18,Link,"<Link href={nftPath(chainId,contract,result.tokenId)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R060,apps/web/components/artwork/ImportArtworkClient.tsx,18,Link,<Link href={`/profile/${address?.toLowerCase()}`}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R061,apps/web/components/artwork/TagWorkspaceClient.tsx,17,Link,"<Link href=""/profile"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R062,apps/web/components/artwork/TagWorkspaceClient.tsx,17,select,<select disabled={busy} value={chainId} onChange={e=>setChainId(Number(e.target.value))}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R063,apps/web/components/artwork/TagWorkspaceClient.tsx,17,input,<input maxLength={32} disabled={busy} value={query} onChange={e=>{setQuery(e.target.value);setMatches([]);setCursor(null);}}/>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R064,apps/web/components/artwork/TagWorkspaceClient.tsx,17,button,<button disabled={busy||!address||!query.trim()} onClick={()=>void search()}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R065,apps/web/components/artwork/TagWorkspaceClient.tsx,17,Link,"<Link href={nftPath(item.chainId,item.contractAddress,item.tokenId)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R066,apps/web/components/artwork/TagWorkspaceClient.tsx,17,button,<button disabled={busy} onClick={()=>void search(true)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R067,apps/web/components/artwork/TagWorkspaceClient.tsx,17,input,<input disabled={busy} value={contract} maxLength={42} onChange={e=>setContract(e.target.value.trim())}/>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R068,apps/web/components/artwork/TagWorkspaceClient.tsx,17,textarea,<textarea disabled={busy} value={ids} maxLength={800} onChange={e=>setIds(e.target.value)}/>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R069,apps/web/components/artwork/TagWorkspaceClient.tsx,17,input,<input disabled={busy} value={labels} maxLength={660} onChange={e=>setLabels(e.target.value)}/>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R070,apps/web/components/artwork/TagWorkspaceClient.tsx,17,select,<select disabled={busy} value={visibility} onChange={e=>setVisibility(e.target.value)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R071,apps/web/components/artwork/TagWorkspaceClient.tsx,17,select,<select disabled={busy} value={mode} onChange={e=>setMode(e.target.value)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R072,apps/web/components/artwork/TagWorkspaceClient.tsx,17,button,<button disabled={busy||!address||!wallet} onClick={()=>void edit()}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R073,apps/web/components/create/CreateClient.tsx,84,input,"<input aria-label=""Artwork file"" type=""file"" accept=""image/png,image/jpeg,image/webp"" disabled={!loaded || busy || Boolean(draft.txHash)} onChange={e => { const file = e.target.files?.[0]; if (!file) return; if (file.size > LIMIT || !['image/png','image/jpeg','image/webp'].includes(file.type)) { setMessage('Choose a PNG, JPEG, or WebP smaller than 3 MiB.'); return; } edit({ file }); }} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R074,apps/web/components/create/CreateClient.tsx,85,input,<input value={draft.name} maxLength={120} disabled={busy || Boolean(draft.txHash)} onChange={e => edit({ name: e.target.value })} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R075,apps/web/components/create/CreateClient.tsx,85,textarea,<textarea value={draft.description} maxLength={2000} disabled={busy || Boolean(draft.txHash)} onChange={e => edit({ description: e.target.value })} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R076,apps/web/components/create/CreateClient.tsx,86,button,<button disabled={busy || !loaded} onClick={() => void publish()}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R077,apps/web/components/create/CreateClient.tsx,86,Link,"<Link className=""ctaLink"" href=""/profile/setup"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R078,apps/web/components/create/CreateClient.tsx,86,button,"<button className=""secondary"" onClick={() => { setDraft({ name: '', description: '' }); setComplete(false); setStage(0); setMessage(''); }}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R079,apps/web/components/create/CreateClient.tsx,88,button,"<button className=""secondary"" disabled={busy} onClick={() => setStage(stage - 1)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R080,apps/web/components/create/CreateClient.tsx,88,button,<button disabled={!loaded || !draft.file || (stage === 1 && !draft.name.trim())} onClick={() => setStage(stage + 1)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R081,apps/web/components/create/CreateClient.tsx,92,summary,<summary>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R082,apps/web/components/create/CreateClient.tsx,92,Link,<Link href={`/mint?view=manage&chainId=${targetChainId}`}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R083,apps/web/components/create/CreateClient.tsx,92,Link,<Link href={`/mint?view=mint&collection=custom&chainId=${targetChainId}`}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R084,apps/web/components/discover/DiscoverClient.tsx,46,Link,"<Link href={collectionPath(item.chainId,item.contractAddress)} className=""artworkCardImage discoveryCollectionCover"" aria-label={`View ${title}`}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R085,apps/web/components/discover/DiscoverClient.tsx,48,Link,"<Link href={collectionPath(item.chainId,item.contractAddress)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R086,apps/web/components/discover/DiscoverClient.tsx,51,Link,"<Link href={collectionPath(item.chainId,item.contractAddress)} className=""ctaLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R087,apps/web/components/discover/DiscoverClient.tsx,327,button,"<button type=""button"" className={view === ""profiles"" ? ""discoverTab discoverTabActive"" : ""discoverTab""} aria-pressed={view === ""profiles""} onClick={() => setView(""profiles"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R088,apps/web/components/discover/DiscoverClient.tsx,330,button,"<button type=""button"" className={view === ""collections"" ? ""discoverTab discoverTabActive"" : ""discoverTab""} aria-pressed={view === ""collections""} onClick={() => setView(""collections"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R089,apps/web/components/discover/DiscoverClient.tsx,333,button,"<button type=""button"" className={view === ""nfts"" ? ""discoverTab discoverTabActive"" : ""discoverTab""} aria-pressed={view === ""nfts""} onClick={() => setView(""nfts"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R090,apps/web/components/discover/DiscoverClient.tsx,340,input,"<input className=""discoverFieldControl"" value={searchValue} onChange={(event) => setSearchValue(event.target.value)} placeholder={view === ""profiles"" ? ""name, slug, tagline, wallet"" : ""name, contract, token, wallet""} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R091,apps/web/components/discover/DiscoverClient.tsx,351,select,"<select className=""discoverFieldControl"" value={profileSourceFilter} onChange={(event) => setProfileSourceFilter(event.target.value as ProfileSourceFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R092,apps/web/components/discover/DiscoverClient.tsx,365,select,"<select className=""discoverFieldControl"" value={profileCollectionFilter} onChange={(event) => setProfileCollectionFilter(event.target.value as ProfileCollectionFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R093,apps/web/components/discover/DiscoverClient.tsx,377,select,"<select className=""discoverFieldControl"" value={profileSort} onChange={(event) => setProfileSort(event.target.value as ProfileSort)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R094,apps/web/components/discover/DiscoverClient.tsx,390,select,"<select className=""discoverFieldControl"" value={collectionStandardFilter} onChange={(event) => setCollectionStandardFilter(event.target.value as StandardFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R095,apps/web/components/discover/DiscoverClient.tsx,402,select,"<select className=""discoverFieldControl"" value={collectionListingFilter} onChange={(event) => setCollectionListingFilter(event.target.value as ListingFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R096,apps/web/components/discover/DiscoverClient.tsx,418,select,"<select className=""discoverFieldControl"" value={nftStandardFilter} onChange={(event) => setNftStandardFilter(event.target.value as StandardFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R097,apps/web/components/discover/DiscoverClient.tsx,430,select,"<select className=""discoverFieldControl"" value={nftListingFilter} onChange={(event) => setNftListingFilter(event.target.value as ListingFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R098,apps/web/components/discover/DiscoverClient.tsx,442,select,"<select className=""discoverFieldControl"" value={nftMediaFilter} onChange={(event) => setNftMediaFilter(event.target.value as MediaFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R099,apps/web/components/discover/DiscoverClient.tsx,460,button,<button onClick={()=>{setProfileCursor(0);setRetryAttempt(value=>value+1);}}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R100,apps/web/components/discover/DiscoverClient.tsx,481,Link,"<Link href={`/profile/${encodeURIComponent(profile.slug)}`} className=""ctaLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R101,apps/web/components/discover/DiscoverClient.tsx,491,button,"<button type=""button"" onClick={loadMoreProfiles} disabled={directoryLoading}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R102,apps/web/components/discover/DiscoverClient.tsx,504,button,<button onClick={()=>{setFeedCursor(0);setRetryAttempt(value=>value+1);}}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R103,apps/web/components/discover/DiscoverClient.tsx,514,button,"<button type=""button"" onClick={loadMoreFeed} disabled={feedLoading}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R104,apps/web/components/discover/DiscoverClient.tsx,527,button,<button onClick={()=>{setFeedCursor(0);setRetryAttempt(value=>value+1);}}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R105,apps/web/components/discover/DiscoverClient.tsx,537,button,"<button type=""button"" onClick={loadMoreFeed} disabled={feedLoading}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R106,apps/web/components/marketplace/MarketplaceClient.tsx,33,Link,"<Link className=""ctaLink"" href=""/profile/listings"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R107,apps/web/components/marketplace/MarketplaceClient.tsx,33,select,<select value={chainId} disabled={busy} onChange={e=>{setChainId(Number(e.target.value));setCursor(0);setItems([]);setSelected(null);}}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R108,apps/web/components/marketplace/MarketplaceClient.tsx,33,input,"<input value={query} onChange={e=>setQuery(e.target.value)} placeholder=""Artwork, contract, or token ID""/>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R109,apps/web/components/marketplace/MarketplaceClient.tsx,33,button,"<button className=""secondary"" disabled={busy||loading} onClick={()=>{setCursor(0);setAttempt(v=>v+1);}}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R110,apps/web/components/marketplace/MarketplaceClient.tsx,33,Link,"<Link className=""artworkCardImage"" href={nftPath(chainId,item.collectionAddress,item.tokenId)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R111,apps/web/components/marketplace/MarketplaceClient.tsx,33,button,<button disabled={busy} onClick={()=>{setSelected(item);setError('');}}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R112,apps/web/components/marketplace/MarketplaceClient.tsx,33,button,<button disabled={loading||busy} onClick={()=>setCursor(next)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R113,apps/web/components/marketplace/MarketplaceClient.tsx,33,button,<button disabled={!address||!wallet||busy} onClick={()=>void buy()}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R114,apps/web/components/marketplace/MarketplaceClient.tsx,33,button,"<button className=""secondary"" disabled={busy} onClick={()=>setSelected(null)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R115,apps/web/components/mint/MintClient.tsx,933,a,"<a href={metadataLink} target=""_blank"" rel=""noreferrer"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R116,apps/web/components/mint/MintClient.tsx,938,a,"<a href={mediaLink} target=""_blank"" rel=""noreferrer"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R117,apps/web/components/mint/MintClient.tsx,3325,button,"<button type=""button"" className={pageMode === ""mint"" ? ""presetButton presetActive mintWorkspaceModeButton"" : ""presetButton mintWorkspaceModeButton""} onClick={() => setPageMode(""mint"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R118,apps/web/components/mint/MintClient.tsx,3329,button,"<button type=""button"" className={pageMode === ""view"" ? ""presetButton presetActive mintWorkspaceModeButton"" : ""presetButton mintWorkspaceModeButton""} onClick={() => setPageMode(""view"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R119,apps/web/components/mint/MintClient.tsx,3333,button,"<button type=""button"" className={pageMode === ""manage"" ? ""presetButton presetActive mintWorkspaceModeButton"" : ""presetButton mintWorkspaceModeButton""} onClick={() => setPageMode(""manage"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R120,apps/web/components/mint/MintClient.tsx,3370,select,<select value={selectedWalletNetworkId} onChange={(e) => void onSelectWalletNetwork(Number(e.target.value))} disabled={!isConnected || isSwitchingChain} >,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R121,apps/web/components/mint/MintClient.tsx,3399,select,<select value={standard} onChange={(e) => setStandard(e.target.value as Standard)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R122,apps/web/components/mint/MintClient.tsx,3411,select,<select value={mintMode} onChange={(e) => { setMintMode(e.target.value as MintMode); setShowDeployForm(false); }} >,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
