id,historical_source_file,historical_line,tag,source_control,desktop,mobile,keyboard,validation,wallet_disconnected,wallet_connected,account_network_change,evidence,issue,overall
C013,apps/web/app/profile/[name]/error.tsx,37,Link,"<Link href=""/discover"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C014,apps/web/app/profile/[name]/error.tsx,40,Link,"<Link href=""/wiki/infrastructure-and-operations"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C015,apps/web/app/profile/page.tsx,5,Link,"<Link href=""/mint"" className=""ctaLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C016,apps/web/app/profile/page.tsx,5,Link,"<Link href=""/profile/setup"" className=""ctaLink secondary"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C017,apps/web/app/wiki/[slug]/page.tsx,22,Link,"<Link href=""/wiki"" className=""wikiBackLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C018,apps/web/components/AsyncButton.tsx,25,button,<button type={type} onClick={onClick} disabled={disabled || loading} className={className}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C019,apps/web/components/HeaderWalletButton.tsx,11,button,<button className={`headerWalletButton ${address ? 'walletConnected' : ''}`} onClick={()=>dialog.current?.showModal()} aria-label={address ? 'Open wallet account' : 'Connect wallet'}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C020,apps/web/components/HeaderWalletButton.tsx,11,button,"<button className=""secondary"" aria-label=""Close wallet dialog"" onClick={()=>dialog.current?.close()}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C021,apps/web/components/HeaderWalletButton.tsx,11,button,<button key={connector.uid} disabled={isPending} onClick={async()=>{setError('');try {await connectAsync({connector});dialog.current?.close();}catch{setError('Connection was not completed. Unlock your wallet and retry.');}}}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C022,apps/web/components/HeaderWalletButton.tsx,11,button,<button onClick={async()=>{try{await switchChainAsync({chainId:target});}catch{setError('Network switch was not completed.');}}}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C023,apps/web/components/HeaderWalletButton.tsx,11,button,"<button disabled={busy || !wallet} onClick={async()=>{if(!wallet)return;setBusy(true);try{await ensureWalletSession(address,args=>wallet.signMessage(args));setError('Signed in. You can now save changes.');}catch{setError('Sign-in was not completed.');}finally{setBusy(false);}}}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C024,apps/web/components/HeaderWalletButton.tsx,11,button,"<button className=""secondary"" onClick={()=>{void fetch('/api/auth',{method:'DELETE'});disconnect();dialog.current?.close();}}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C025,apps/web/components/ListingSummaryRow.tsx,67,a,"<a href={toExplorerAddress(item.nft, effectiveChainId)!} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C026,apps/web/components/ListingSummaryRow.tsx,75,a,"<a href={toExplorerAddress(item.seller, effectiveChainId)!} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C027,apps/web/components/SiteNavigation.tsx,8,Link,"<Link className=""brandLink"" href=""/"" aria-label=""NFTFactory home"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C028,apps/web/components/SiteNavigation.tsx,8,Link,<Link key={url} href={url} aria-current={pathname.startsWith(url) ? 'page' : undefined}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C029,apps/web/components/SiteNavigation.tsx,8,summary,<summary>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C030,apps/web/components/SiteNavigation.tsx,8,Link,<Link key={url} href={url}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C031,apps/web/components/SiteNavigation.tsx,8,Link,"<Link href=""/wiki"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C032,apps/web/components/create/CreateClient.tsx,83,input,"<input aria-label=""Artwork file"" type=""file"" accept=""image/png,image/jpeg,image/webp"" disabled={!loaded || busy || Boolean(draft.txHash)} onChange={e => { const file = e.target.files?.[0]; if (!file) return; if (file.size > LIMIT || !['image/png','image/jpeg','image/webp'].includes(file.type)) { setMessage('Choose a PNG, JPEG, or WebP smaller than 3 MiB.'); return; } edit({ file }); }} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C033,apps/web/components/create/CreateClient.tsx,84,input,<input value={draft.name} maxLength={120} disabled={busy || Boolean(draft.txHash)} onChange={e => edit({ name: e.target.value })} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C034,apps/web/components/create/CreateClient.tsx,84,textarea,<textarea value={draft.description} maxLength={2000} disabled={busy || Boolean(draft.txHash)} onChange={e => edit({ description: e.target.value })} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C035,apps/web/components/create/CreateClient.tsx,85,button,<button disabled={busy || !loaded} onClick={() => void publish()}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C036,apps/web/components/create/CreateClient.tsx,85,Link,"<Link className=""ctaLink"" href=""/profile/setup"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C037,apps/web/components/create/CreateClient.tsx,85,button,"<button className=""secondary"" onClick={() => { setDraft({ name: '', description: '' }); setComplete(false); setStage(0); setMessage(''); }}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C038,apps/web/components/create/CreateClient.tsx,87,button,"<button className=""secondary"" disabled={busy} onClick={() => setStage(stage - 1)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C039,apps/web/components/create/CreateClient.tsx,87,button,<button disabled={!loaded || !draft.file || (stage === 1 && !draft.name.trim())} onClick={() => setStage(stage + 1)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C040,apps/web/components/create/CreateClient.tsx,91,summary,<summary>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C041,apps/web/components/create/CreateClient.tsx,91,Link,"<Link href=""/mint?view=manage"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C042,apps/web/components/create/CreateClient.tsx,91,Link,"<Link href=""/mint?view=mint&collection=custom"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C043,apps/web/components/discover/DiscoverClient.tsx,318,button,"<button type=""button"" className={view === ""profiles"" ? ""discoverTab discoverTabActive"" : ""discoverTab""} onClick={() => setView(""profiles"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C044,apps/web/components/discover/DiscoverClient.tsx,321,button,"<button type=""button"" className={view === ""collections"" ? ""discoverTab discoverTabActive"" : ""discoverTab""} onClick={() => setView(""collections"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C045,apps/web/components/discover/DiscoverClient.tsx,324,button,"<button type=""button"" className={view === ""nfts"" ? ""discoverTab discoverTabActive"" : ""discoverTab""} onClick={() => setView(""nfts"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C046,apps/web/components/discover/DiscoverClient.tsx,331,input,"<input className=""discoverFieldControl"" value={searchValue} onChange={(event) => setSearchValue(event.target.value)} placeholder={view === ""profiles"" ? ""name, slug, tagline, wallet"" : ""name, contract, token, wallet""} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C047,apps/web/components/discover/DiscoverClient.tsx,342,select,"<select className=""discoverFieldControl"" value={profileSourceFilter} onChange={(event) => setProfileSourceFilter(event.target.value as ProfileSourceFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C048,apps/web/components/discover/DiscoverClient.tsx,355,select,"<select className=""discoverFieldControl"" value={profileCollectionFilter} onChange={(event) => setProfileCollectionFilter(event.target.value as ProfileCollectionFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C049,apps/web/components/discover/DiscoverClient.tsx,367,select,"<select className=""discoverFieldControl"" value={profileSort} onChange={(event) => setProfileSort(event.target.value as ProfileSort)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C050,apps/web/components/discover/DiscoverClient.tsx,380,select,"<select className=""discoverFieldControl"" value={collectionStandardFilter} onChange={(event) => setCollectionStandardFilter(event.target.value as StandardFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C051,apps/web/components/discover/DiscoverClient.tsx,392,select,"<select className=""discoverFieldControl"" value={collectionListingFilter} onChange={(event) => setCollectionListingFilter(event.target.value as ListingFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C052,apps/web/components/discover/DiscoverClient.tsx,408,select,"<select className=""discoverFieldControl"" value={nftStandardFilter} onChange={(event) => setNftStandardFilter(event.target.value as StandardFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C053,apps/web/components/discover/DiscoverClient.tsx,420,select,"<select className=""discoverFieldControl"" value={nftListingFilter} onChange={(event) => setNftListingFilter(event.target.value as ListingFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C054,apps/web/components/discover/DiscoverClient.tsx,432,select,"<select className=""discoverFieldControl"" value={nftMediaFilter} onChange={(event) => setNftMediaFilter(event.target.value as MediaFilter)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C055,apps/web/components/discover/DiscoverClient.tsx,470,Link,"<Link href={`/profile/${encodeURIComponent(profile.slug)}`} className=""ctaLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C056,apps/web/components/discover/DiscoverClient.tsx,474,Link,"<Link href={`/mint?view=manage&address=${encodeURIComponent(profile.collectionAddress)}`} className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C057,apps/web/components/discover/DiscoverClient.tsx,484,button,"<button type=""button"" onClick={loadMoreProfiles} disabled={directoryLoading}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C058,apps/web/components/discover/DiscoverClient.tsx,517,Link,"<Link href={`/mint?view=view&address=${encodeURIComponent(item.contractAddress)}`} className=""ctaLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C059,apps/web/components/discover/DiscoverClient.tsx,520,Link,"<Link href={`/mint?view=manage&address=${encodeURIComponent(item.contractAddress)}`} className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C060,apps/web/components/discover/DiscoverClient.tsx,529,button,"<button type=""button"" onClick={loadMoreFeed} disabled={feedLoading}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C061,apps/web/components/discover/DiscoverClient.tsx,564,Link,"<Link href={`/mint?view=view&address=${encodeURIComponent(item.collection.contractAddress)}`} className=""ctaLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C062,apps/web/components/discover/DiscoverClient.tsx,568,a,"<a href={artworkSources(item.metadataUrl)[0] || item.metadataUrl} target=""_blank"" rel=""noreferrer"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C063,apps/web/components/discover/DiscoverClient.tsx,578,button,"<button type=""button"" onClick={loadMoreFeed} disabled={feedLoading}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C064,apps/web/components/mint/MintClient.tsx,932,a,"<a href={metadataLink} target=""_blank"" rel=""noreferrer"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C065,apps/web/components/mint/MintClient.tsx,937,a,"<a href={mediaLink} target=""_blank"" rel=""noreferrer"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C066,apps/web/components/mint/MintClient.tsx,3323,button,"<button type=""button"" className={pageMode === ""mint"" ? ""presetButton presetActive mintWorkspaceModeButton"" : ""presetButton mintWorkspaceModeButton""} onClick={() => setPageMode(""mint"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C067,apps/web/components/mint/MintClient.tsx,3327,button,"<button type=""button"" className={pageMode === ""view"" ? ""presetButton presetActive mintWorkspaceModeButton"" : ""presetButton mintWorkspaceModeButton""} onClick={() => setPageMode(""view"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C068,apps/web/components/mint/MintClient.tsx,3331,button,"<button type=""button"" className={pageMode === ""manage"" ? ""presetButton presetActive mintWorkspaceModeButton"" : ""presetButton mintWorkspaceModeButton""} onClick={() => setPageMode(""manage"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C069,apps/web/components/mint/MintClient.tsx,3368,select,<select value={selectedWalletNetworkId} onChange={(e) => void onSelectWalletNetwork(Number(e.target.value))} disabled={!isConnected || isSwitchingChain} >,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C070,apps/web/components/mint/MintClient.tsx,3397,select,<select value={standard} onChange={(e) => setStandard(e.target.value as Standard)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C071,apps/web/components/mint/MintClient.tsx,3409,select,<select value={mintMode} onChange={(e) => { setMintMode(e.target.value as MintMode); setShowDeployForm(false); }} >,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C072,apps/web/components/mint/MintClient.tsx,3448,select,"<select value={collectionSelector} onChange={(e) => setCollectionSelector(e.target.value as ""saved"" | ""manual"")} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C073,apps/web/components/mint/MintClient.tsx,3459,select,<select value={customCollectionAddress} onChange={(e) => setCustomCollectionAddress(e.target.value)} >,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C074,apps/web/components/mint/MintClient.tsx,3473,input,<input value={customCollectionAddress} onChange={(e) => setCustomCollectionAddress(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C075,apps/web/components/mint/MintClient.tsx,3494,a,"<a href={toExplorerAddress(config.chainId, customCollectionAddress)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C076,apps/web/components/mint/MintClient.tsx,3508,input,"<input value={custom1155TokenId} onChange={(e) => setCustom1155TokenId(e.target.value)} inputMode=""numeric"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C077,apps/web/components/mint/MintClient.tsx,3518,input,"<input type=""checkbox"" checked={lockMetadata} onChange={(e) => setLockMetadata(e.target.checked)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C078,apps/web/components/mint/MintClient.tsx,3534,summary,"<summary style={{ cursor: ""pointer"", fontWeight: 600, marginTop: ""0.5rem"" }}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C079,apps/web/components/mint/MintClient.tsx,3544,input,<input value={deployName} onChange={(e) => setDeployName(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C080,apps/web/components/mint/MintClient.tsx,3548,input,<input value={deploySymbol} onChange={(e) => setDeploySymbol(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C081,apps/web/components/mint/MintClient.tsx,3552,input,<input value={deploySubname} onChange={(e) => setDeploySubname(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C082,apps/web/components/mint/MintClient.tsx,3562,input,"<input value={deployRoyaltyReceiver} onChange={(e) => setDeployRoyaltyReceiver(e.target.value)} placeholder=""0x... or name.eth"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C083,apps/web/components/mint/MintClient.tsx,3583,input,"<input value={deployRoyaltyBps} onChange={(e) => setDeployRoyaltyBps(e.target.value)} inputMode=""numeric"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C084,apps/web/components/mint/MintClient.tsx,3590,button,"<button type=""button"" onClick={onDeployCollection} disabled={!isConnected || wrongNetwork || deployTx.status === ""pending""} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C085,apps/web/components/mint/MintClient.tsx,3616,input,<input value={name} onChange={(e) => setName(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C086,apps/web/components/mint/MintClient.tsx,3620,input,<input value={description} onChange={(e) => setDescription(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C087,apps/web/components/mint/MintClient.tsx,3625,input,"<input value={copies} onChange={(e) => setCopies(e.target.value)} inputMode=""numeric"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C088,apps/web/components/mint/MintClient.tsx,3633,input,"<input type=""file"" accept=""image/*"" onChange={(e) => setImageFile(e.target.files?.[0] ?? null)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C089,apps/web/components/mint/MintClient.tsx,3636,input,"<input type=""checkbox"" checked={includeAudio} onChange={(e) => setIncludeAudio(e.target.checked)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C090,apps/web/components/mint/MintClient.tsx,3646,input,"<input type=""file"" accept=""audio/*"" onChange={(e) => setAudioFile(e.target.files?.[0] ?? null)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C091,apps/web/components/mint/MintClient.tsx,3661,input,"<input type=""checkbox"" checked={includeExternalUrl} onChange={(e) => setIncludeExternalUrl(e.target.checked)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C092,apps/web/components/mint/MintClient.tsx,3671,input,<input value={externalUrl} onChange={(e) => setExternalUrl(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C093,apps/web/components/mint/MintClient.tsx,3675,input,"<input type=""checkbox"" checked={useCustomMetadataUri} onChange={(e) => setUseCustomMetadataUri(e.target.checked)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C094,apps/web/components/mint/MintClient.tsx,3685,input,<input value={metadataUri} onChange={(e) => setMetadataUri(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C095,apps/web/components/mint/MintClient.tsx,3755,button,"<button type=""submit"" disabled={!isConnected || wrongNetwork || mintTx.status === ""pending"" || uploadTx.status === ""pending""} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C096,apps/web/components/mint/MintClient.tsx,3773,a,"<a href={toExplorerTx(getContractsConfig().chainId, mintTx.hash)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C097,apps/web/components/mint/MintClient.tsx,3778,a,"<a href={uploadReceipt.metadataGatewayUrl} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C098,apps/web/components/mint/MintClient.tsx,3785,a,"<a href={uploadReceipt.imageGatewayUrl} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C099,apps/web/components/mint/MintClient.tsx,3790,a,"<a href={uploadReceipt.audioGatewayUrl} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C100,apps/web/components/mint/MintClient.tsx,3834,select,"<select value={manageSelector} onChange={(e) => setManageSelector(e.target.value as ""saved"" | ""manual"")} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C101,apps/web/components/mint/MintClient.tsx,3846,select,<select value={manageAddress} onChange={(e) => setManageAddress(e.target.value)} >,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C102,apps/web/components/mint/MintClient.tsx,3861,input,<input value={manageAddress} onChange={(e) => setManageAddress(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C103,apps/web/components/mint/MintClient.tsx,3901,a,"<a href={toExplorerAddress(config.chainId, manageAddress)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C104,apps/web/components/mint/MintClient.tsx,3945,button,"<button type=""button"" className=""secondaryButton"" disabled={!isAddress(manageAddress) || viewCollectionLoading} onClick={() => { if (!isAddress(manageAddress)) return; setViewCollectionLoading(true); setViewCollectionError(""""); void fetchCollectionTokens(manageAddress, { chainId: config.chainId, sync: true, syncScope: ""collection"", timeoutMs: 30_000, ownerAddress: manageCollectionOwner || account || undefined, royaltyReceiverAddress: manageRoyaltyReceiver || undefined, implementationAddress: manageImplementationAddress || undefined }) .then(async (result) => { if (result.count === 0 && publicClient && manageCollectionStandard) { result = await fetchCollectionTokensOnChain({ publicClient, cha",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C105,apps/web/components/mint/MintClient.tsx,4061,select,"<select value={manageSelector} onChange={(e) => setManageSelector(e.target.value as ""saved"" | ""manual"")} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C106,apps/web/components/mint/MintClient.tsx,4073,select,<select value={manageAddress} onChange={(e) => setManageAddress(e.target.value)} >,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C107,apps/web/components/mint/MintClient.tsx,4088,input,<input value={manageAddress} onChange={(e) => setManageAddress(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C108,apps/web/components/mint/MintClient.tsx,4102,a,"<a href={toExplorerAddress(config.chainId, manageAddress)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C109,apps/web/components/mint/MintClient.tsx,4126,a,"<a href={toExplorerAddress(config.chainId, manageAddress)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C110,apps/web/components/mint/MintClient.tsx,4137,a,"<a href={toExplorerAddress(config.chainId, manageImplementationAddress)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C111,apps/web/components/mint/MintClient.tsx,4148,button,"<button type=""button"" className=""secondaryButton"" disabled={!isAddress(manageAddress) || !manageCollectionStandard || collectionVerificationTx.status === ""pending""} onClick={() => { if (!isAddress(manageAddress) || !manageCollectionStandard) return; void runCollectionVerification(manageAddress, manageCollectionStandard); }} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C112,apps/web/components/mint/MintClient.tsx,4159,button,"<button type=""button"" className=""secondaryButton"" disabled={!isAddress(manageAddress) || collectionVerificationTx.status === ""pending""} onClick={() => { if (!isAddress(manageAddress)) return; void checkCollectionVerificationStatus(manageAddress); }} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C113,apps/web/components/mint/MintClient.tsx,4171,a,"<a href={collectionVerificationTx.explorerUrl} target=""_blank"" rel=""noreferrer"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C114,apps/web/components/mint/MintClient.tsx,4209,select,<select value={identityMode} onChange={(e) => setIdentityMode(e.target.value as CollectionIdentityMode)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C115,apps/web/components/mint/MintClient.tsx,4223,input,<input value={registerSubnameLabel} onChange={(e) => setRegisterSubnameLabel(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C116,apps/web/components/mint/MintClient.tsx,4230,select,<select value={selectedCollectionSubnameParentOption} onChange={(e) => setCollectionSubnameParent(e.target.value)} disabled={collectionEnsParentCandidates.length === 0} >,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
